Week,macron
2011-09-25,0
2011-10-02,0
2011-10-09,0
2011-10-16,0
2011-10-23,0
2011-10-30,0
2011-11-06,0
2011-11-13,0
2011-11-20,0
2011-11-27,0
2011-12-04,0
2011-12-11,0
2011-12-18,0
2011-12-25,0
2012-01-01,0
2012-01-08,0
2012-01-15,0
2012-01-22,0
2012-01-29,0
2012-02-05,0
2012-02-12,0
2012-02-19,0
2012-02-26,0
2012-03-04,0
2012-03-11,0
2012-03-18,0
2012-03-25,0
2012-04-01,0
2012-04-08,0
2012-04-15,0
2012-04-22,0
2012-04-29,0
2012-05-06,1
2012-05-13,2
2012-05-20,1
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-07-08,0
2012-07-15,0
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,0
2012-09-02,1
2012-09-09,0
2012-09-16,1
2012-09-23,0
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,0
2012-10-28,1
2012-11-04,0
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,0
2012-12-23,0
2012-12-30,0
2013-01-06,0
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,1
2013-05-26,0
2013-06-02,0
2013-06-09,0
2013-06-16,0
2013-06-23,0
2013-06-30,0
2013-07-07,1
2013-07-14,0
2013-07-21,1
2013-07-28,1
2013-08-04,1
2013-08-11,1
2013-08-18,1
2013-08-25,1
2013-09-01,1
2013-09-08,0
2013-09-15,1
2013-09-22,0
2013-09-29,1
2013-10-06,0
2013-10-13,0
2013-10-20,0
2013-10-27,1
2013-11-03,0
2013-11-10,0
2013-11-17,0
2013-11-24,0
2013-12-01,0
2013-12-08,0
2013-12-15,0
2013-12-22,0
2013-12-29,0
2014-01-05,0
2014-01-12,0
2014-01-19,1
2014-01-26,1
2014-02-02,1
2014-02-09,1
2014-02-16,0
2014-02-23,0
2014-03-02,0
2014-03-09,0
2014-03-16,0
2014-03-23,1
2014-03-30,1
2014-04-06,0
2014-04-13,1
2014-04-20,1
2014-04-27,0
2014-05-04,0
2014-05-11,0
2014-05-18,1
2014-05-25,0
2014-06-01,0
2014-06-08,2
2014-06-15,0
2014-06-22,0
2014-06-29,0
2014-07-06,0
2014-07-13,0
2014-07-20,0
2014-07-27,0
2014-08-03,0
2014-08-10,0
2014-08-17,1
2014-08-24,88
2014-08-31,17
2014-09-07,8
2014-09-14,16
2014-09-21,4
2014-09-28,4
2014-10-05,3
2014-10-12,14
2014-10-19,9
2014-10-26,4
2014-11-02,4
2014-11-09,5
2014-11-16,6
2014-11-23,5
2014-11-30,6
2014-12-07,24
2014-12-14,11
2014-12-21,8
2014-12-28,7
2015-01-04,10
2015-01-11,8
2015-01-18,10
2015-01-25,20
2015-02-01,16
2015-02-08,12
2015-02-15,100
2015-02-22,30
2015-03-01,12
2015-03-08,33
2015-03-15,11
2015-03-22,8
2015-03-29,9
2015-04-05,10
2015-04-12,6
2015-04-19,7
2015-04-26,5
2015-05-03,5
2015-05-10,6
2015-05-17,6
2015-05-24,4
2015-05-31,8
2015-06-07,10
2015-06-14,24
2015-06-21,8
2015-06-28,7
2015-07-05,13
2015-07-12,9
2015-07-19,7
2015-07-26,6
2015-08-02,10
2015-08-09,7
2015-08-16,7
2015-08-23,12
2015-08-30,10
2015-09-06,9
2015-09-13,10
2015-09-20,17
2015-09-27,12
2015-10-04,9
2015-10-11,10
2015-10-18,8
2015-10-25,9
2015-11-01,10
2015-11-08,21
2015-11-15,7
2015-11-22,8
2015-11-29,13
2015-12-06,8
2015-12-13,7
2015-12-20,5
2015-12-27,7
2016-01-03,17
2016-01-10,11
2016-01-17,22
2016-01-24,17
2016-01-31,10
2016-02-07,11
2016-02-14,9
2016-02-21,10
2016-02-28,13
2016-03-06,11
2016-03-13,10
2016-03-20,7
2016-03-27,7
2016-04-03,31
2016-04-10,64
2016-04-17,34
2016-04-24,23
2016-05-01,14
2016-05-08,28
2016-05-15,13
2016-05-22,18
2016-05-29,31
2016-06-05,20
2016-06-12,11
2016-06-19,9
2016-06-26,9
2016-07-03,9
2016-07-10,34
2016-07-17,8
2016-07-24,7
2016-07-31,7
2016-08-07,12
2016-08-14,15
2016-08-21,9
2016-08-28,98
2016-09-04,34
2016-09-11,17
2016-09-18,13
